Location,Price,Beds,Area
"DHA Defence Phase 2, DHA Defence",9.25 Crore,6,1 Kanal
"Bahria Enclave - Sector C2, Bahria Enclave",4.95 Crore,5,10 Marla
"D-17, Islamabad",3.8 Crore,5,9.3 Marla
"F-17, Islamabad",2.9 Crore,6,8 Marla
"Kashmir Garden Agro Farming Scheme, Islamabad",16 Crore,10,4.7 Kanal
"Soan Garden - Block A, Soan Garden",4.5 Crore,7,12.4 Marla
"I-14, Islamabad",2.25 Crore,5,5 Marla
"DHA Defence Phase 2, DHA Defence",11.85 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",14.95 Crore,5,1 Kanal
"Soan Garden - Block E, Soan Garden",6 Crore,7,1 Kanal
"Bani Gala, Islamabad",4 Crore,6,15 Marla
"Bani Gala, Islamabad",3.7 Crore,3,1 Kanal
"B-17, Islamabad",3.6 Crore,5,10 Marla
"Faisal Margalla City, B-17",2.1 Crore,4,5 Marla
"DHA Defence Phase 2, DHA Defence",8.6 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",10.5 Crore,6,1 Kanal
"G-13, Islamabad",8.5 Crore,6,10 Marla
"G-13, Islamabad",10.7 Crore,6,14 Marla
"G-13, Islamabad",6.3 Crore,4,7 Marla
"G-13, Islamabad",7 Crore,4,7 Marla
"G-13, Islamabad",8.85 Crore,6,10 Marla
"G-13, Islamabad",8.75 Crore,6,10 Marla
"I-8/2, I-8",20 Crore,6,1.2 Kanal
"DHA Defence Phase 2, DHA Defence",12.7 Crore,5,1 Kanal
"Bahria Enclave, Bahria Town",2.75 Crore,3,5 Marla
"I-16/2, I-16",2.5 Crore,7,7 Marla
"DHA Defence Phase 2, DHA Defence",12.75 Crore,5,1 Kanal
"Naval Anchorage - Block D, Naval Anchorage",5.5 Crore,3,1 Kanal
"D-12/1, D-12",4.1 Crore,4,4 Marla
"D-12, Islamabad",24 Crore,9,1 Kanal
"G-11/3, G-11",3 Crore,3,3.6 Marla
"D-12/2, D-12",9.5 Crore,4,8 Marla
"DHA Defence Phase 2, DHA Defence",10.7 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",10.49 Crore,6,1 Kanal
"MPCHS - Multi Gardens, B-17",3.3 Crore,5,8 Marla
"MPCHS - Multi Gardens, B-17",5.3 Crore,6,10 Marla
"F-15, Islamabad",4.5 Crore,6,11 Marla
"G-13, Islamabad",6.25 Crore,5,8 Marla
"F-7/4, F-7",29.5 Crore,8,1.3 Kanal
"G-13, Islamabad",8.5 Crore,6,10 Marla
"G-13, Islamabad",6.25 Crore,4,7 Marla
"Korang Town, Islamabad",2.7 Crore,5,6.7 Marla
"F-7/3, F-7",29.45 Crore,5,1 Kanal
"G-13, Islamabad",7.35 Crore,5,8 Marla
"F-6/2, F-6",1.85 Arab,8,10.4 Kanal
"G-13, Islamabad",10.8 Crore,6,14.2 Marla
"DHA Defence Phase 2, DHA Defence",11.45 Crore,6,1 Kanal
"G-15, Islamabad",4.5 Crore,7,8 Marla
"G-15, Islamabad",4.5 Crore,7,8 Marla
"Top City 1 - Block A, Top City 1",4.35 Crore,5,10 Marla
"Soan Garden, Islamabad",2.9 Crore,4,6 Marla
"CBR Town, Islamabad",6.45 Crore,7,12 Marla
"DHA Phase 2 - Sector D, DHA Defence Phase 2",9.75 Crore,6,1 Kanal
"Faisal Town Phase 1 - Block C, Faisal Town Phase 1",2.15 Crore,5,5 Marla
"G-11/2, G-11",5.35 Crore,5,5 Marla
"G-11/3, G-11",6.3 Crore,5,8 Marla
"G-11/1, G-11",16.75 Crore,6,1 Kanal
"F-7, Islamabad",85 Crore,7,3.8 Kanal
"DHA Phase 1 - Sector F, DHA Defence Phase 1",5.5 Crore,5,12 Marla
"G-13, Islamabad",6.25 Crore,7,7 Marla
"G-13, Islamabad",12 Crore,6,14 Marla
"MPCHS - Block C, MPCHS - Multi Gardens",7.2 Crore,5,1 Kanal
"D-12/1, D-12",15.5 Crore,9,14.2 Marla
"Soan Garden - Block H, Soan Garden",3.35 Crore,6,10 Marla
"PWD Housing Scheme, Islamabad",3.5 Crore,4,7 Marla
"Korang Town, Islamabad",2.75 Crore,4,6 Marla
"Jinnah Gardens Phase 1, Jinnah Gardens",3.4 Crore,4,8 Marla
"DHA Phase 2 - Sector A, DHA Defence Phase 2",8.45 Crore,6,1 Kanal
"DHA Phase 2 - Sector F, DHA Defence Phase 2",12 Crore,5,1 Kanal
"DHA Phase 2 - Sector J, DHA Defence Phase 2",5.9 Crore,5,10 Marla
"DHA Phase 2 - Sector G, DHA Defence Phase 2",25 Crore,7,2 Kanal
"DHA Phase 5 - Sector A, DHA Defence Phase 5",22 Crore,6,1.7 Kanal
"Soan Garden, Islamabad",4.9 Crore,6,12 Marla
"I-14, Islamabad",2.6 Crore,4,5.6 Marla
"Bahria Enclave - Sector N, Bahria Enclave",3 Crore,5,8 Marla
"Bahria Enclave - Sector N, Bahria Enclave",2.35 Crore,3,5 Marla
"Bahria Enclave - Sector M, Bahria Enclave",4.4 Crore,5,10 Marla
"Bani Gala, Islamabad",1.6 Crore,5,5 Marla
"Soan Garden - Block H, Soan Garden",3 Crore,5,7 Marla
"G-9/3, G-9",6 Crore,5,7 Marla
"Faisal Town - F-18, Islamabad",1.5 Crore,4,5 Marla
"PWD Housing Scheme, Islamabad",4.3 Crore,6,9.3 Marla
"F-6, Islamabad",35 Crore,5,1.2 Kanal
"DHA Defence Phase 2, DHA Defence",8.8 Crore,6,1 Kanal
"F-8/1, F-8",24.5 Crore,6,1 Kanal
"F-8/3, F-8",28 Crore,5,1 Kanal
"I-10/1, I-10",7 Crore,8,8 Marla
"MPCHS - Block C1, MPCHS - Multi Gardens",2.1 Crore,4,5 Marla
"DHA Defence Phase 2, DHA Defence",11.65 Crore,9,1 Kanal
"DHA Defence Phase 2, DHA Defence",10.45 Crore,5,1 Kanal
"Soan Garden - Block F, Soan Garden",5.5 Crore,7,1 Kanal
"Soan Garden - Block C, Soan Garden",1.95 Crore,4,5 Marla
"Soan Garden - Block C, Soan Garden",2.4 Crore,4,5 Marla
"CBR Town Phase 1 - Block D, CBR Town Phase 1",3.3 Crore,5,7 Marla
"DHA Defence Phase 2, DHA Defence",10.5 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",11.25 Crore,6,1 Kanal
"I-8, Islamabad",23.5 Crore,8,1.2 Kanal
"F-6, Islamabad",60 Crore,6,2 Kanal
"DHA Defence Phase 2, DHA Defence",11.5 Crore,5,1 Kanal
"Bahria Garden City - Zone 5, Bahria Garden City",1.38 Crore,2,5 Marla
"D-12, Islamabad",8.2 Crore,4,10 Marla
"B-17, Islamabad",5.5 Crore,7,14 Marla
"G-13, Islamabad",7.35 Crore,6,8 Marla
"I-8/2, I-8",12 Crore,7,12 Marla
"F-7/3, F-7",70 Crore,7,2.7 Kanal
"DHA Phase 2 - Sector B, DHA Defence Phase 2",7.5 Crore,5,1 Kanal
"E-7, Islamabad",70 Crore,6,1.6 Kanal
"E-7, Islamabad",65 Crore,6,1.9 Kanal
"MPCHS - Block F, MPCHS - Multi Gardens",1.75 Crore,4,5 Marla
"MPCHS - Block B, MPCHS - Multi Gardens",5.2 Crore,6,10 Marla
"MPCHS - Block B, MPCHS - Multi Gardens",4.5 Crore,5,10 Marla
"MPCHS - Block F, MPCHS - Multi Gardens",2.3 Crore,4,8 Marla
"MPCHS - Block E, MPCHS - Multi Gardens",3 Crore,4,8 Marla
"DHA Defence Phase 2, DHA Defence",10.25 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",11.5 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",10.75 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",9.49 Crore,6,1 Kanal
"G-13, Islamabad",9.25 Crore,6,10 Marla
"G-13/2, G-13",6.3 Crore,5,8 Marla
"G-13/3, G-13",8.5 Crore,4,10.9 Marla
"G-13, Islamabad",10.75 Crore,6,14.2 Marla
"D-12, Islamabad",5.5 Crore,4,5 Marla
"Bahria Enclave - Sector H, Bahria Enclave",2.7 Crore,3,5 Marla
"F-7, Islamabad",38 Crore,5,1.3 Kanal
"Mumtaz City, Islamabad",3 Crore,7,8 Marla
"Kashmir Highway, Islamabad",20 Crore,5,1 Kanal
"DHA Defence Phase 1, DHA Defence",8.35 Crore,6,1 Kanal
"Soan Garden - Block C, Soan Garden",1.95 Crore,4,5 Marla
"G-13/1, G-13",2.9 Crore,5,4 Marla
"Jinnah Gardens Phase 1, Jinnah Gardens",3.25 Crore,5,7 Marla
"G-15, Islamabad",3.8 Crore,4,8 Marla
"E-7, Islamabad",58 Crore,6,1.2 Kanal
"G-6, Islamabad",22 Crore,5,1.1 Kanal
"MPCHS - Block B, MPCHS - Multi Gardens",7.8 Crore,6,1 Kanal
"MPCHS - Block C1, MPCHS - Multi Gardens",7.5 Crore,6,1 Kanal
"Ghauri Town, Islamabad",2.25 Crore,4,8 Marla
"MPCHS - Block E, MPCHS - Multi Gardens",3.1 Crore,4,8 Marla
"G-13/1, G-13",4 Crore,4,4.4 Marla
"I-14/1, I-14",2.25 Crore,4,5 Marla
"F-6/3, F-6",88 Crore,7,2 Kanal
"F-8, Islamabad",33.5 Crore,5,1 Kanal
"F-6, Islamabad",32 Crore,5,1.7 Kanal
"F-8/3, F-8",44 Crore,4,2 Kanal
"F-6/3, F-6",85 Crore,7,2 Kanal
"I-14, Islamabad",2.98 Crore,5,6 Marla
"Eighteen, Kashmir Highway",65 Crore,7,8 Kanal
"H-13, Islamabad",1.35 Crore,7,4 Marla
"H-13, Islamabad",1.2 Crore,3,4 Marla
"H-13, Islamabad",1.4 Crore,5,6 Marla
"Gulshan-e-Sehat 1, E-18",2.85 Crore,3,1 Kanal
